Project_ID,Project_Name,Region,Market,Industry,AI_Category,Agentic_AI,AI_Ops,Business_Transformation,ICA,Budget,Status,Start_Date
P001,Customer Service Automation,North America,Enterprise,Banking,Agentic AI,Yes,No,Yes,No,500000,Active,2024-01-15
P002,Predictive Maintenance System,Europe,Mid-Market,Manufacturing,AI Ops,No,Yes,Yes,No,350000,Active,2024-02-20
P003,Fraud Detection Platform,Asia Pacific,Enterprise,Financial Services,AI Ops,Yes,Yes,No,Yes,750000,Active,2024-01-10
P004,Supply Chain Optimizer,North America,Enterprise,Retail,Business Transformation,No,Yes,Yes,No,600000,Completed,2023-11-05
P005,Intelligent Document Processing,Europe,SMB,Healthcare,ICA,No,No,Yes,Yes,250000,Active,2024-03-12
P006,Sales Forecasting AI,Latin America,Mid-Market,Retail,Agentic AI,Yes,No,Yes,No,400000,Active,2024-02-28
P007,IT Operations Assistant,North America,Enterprise,Technology,AI Ops,Yes,Yes,No,No,550000,Active,2024-01-22
P008,Customer Insights Engine,Europe,Enterprise,Telecommunications,Business Transformation,No,No,Yes,Yes,680000,Active,2024-02-15
P009,Automated Compliance Checker,Asia Pacific,Mid-Market,Banking,ICA,No,No,No,Yes,320000,Active,2024-03-05
P010,Virtual Sales Agent,North America,SMB,Insurance,Agentic AI,Yes,No,Yes,No,280000,Completed,2023-12-18
P011,Network Optimization AI,Europe,Enterprise,Telecommunications,AI Ops,No,Yes,Yes,No,720000,Active,2024-01-30
P012,HR Talent Matching,Asia Pacific,Mid-Market,Technology,Business Transformation,Yes,No,Yes,No,450000,Active,2024-02-10
P013,Quality Control Vision,North America,Enterprise,Manufacturing,AI Ops,No,Yes,No,Yes,580000,Active,2024-01-25
P014,Legal Document Analysis,Europe,Enterprise,Legal Services,ICA,No,No,Yes,Yes,420000,Active,2024-03-01
P015,Personalization Engine,Latin America,Mid-Market,E-commerce,Agentic AI,Yes,No,Yes,No,380000,Active,2024-02-18
P016,Cybersecurity AI Monitor,North America,Enterprise,Financial Services,AI Ops,No,Yes,No,Yes,650000,Active,2024-01-12
P017,Patient Care Coordinator,Europe,Mid-Market,Healthcare,Agentic AI,Yes,No,Yes,Yes,490000,Active,2024-02-22
P018,Inventory Management AI,Asia Pacific,SMB,Retail,Business Transformation,No,Yes,Yes,No,310000,Completed,2024-01-08
P019,Contract Intelligence System,North America,Enterprise,Legal Services,ICA,No,No,No,Yes,540000,Active,2024-03-10
P020,Marketing Campaign Optimizer,Europe,Mid-Market,Marketing,Business Transformation,Yes,No,Yes,No,430000,Active,2024-02-05
P021,Energy Consumption Predictor,Asia Pacific,Enterprise,Energy,AI Ops,No,Yes,Yes,No,690000,Active,2024-01-20
P022,Chatbot Platform,Latin America,SMB,Hospitality,Agentic AI,Yes,No,Yes,No,270000,Active,2024-03-15
P023,Risk Assessment Engine,North America,Enterprise,Insurance,Business Transformation,No,No,Yes,Yes,620000,Active,2024-02-12
P024,Process Mining AI,Europe,Mid-Market,Manufacturing,ICA,No,Yes,No,Yes,410000,Active,2024-01-28
P025,Voice Assistant Integration,Asia Pacific,Enterprise,Telecommunications,Agentic AI,Yes,No,Yes,No,560000,Active,2024-02-25
